Language	Entropy	Count	Type	Model	LR
Erzya-Adap	2.53665710742	41	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Erzya-Adap	2.53187718997	43	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Erzya-Adap	2.98891574469	9	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Erzya-Adap	3.01678836969	6	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Erzya-Adap	3.00570161569	8	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Erzya-Adap	3.01839574093	7	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Erzya-Adap	5.23849125478	8	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Erzya-Adap	5.34127748738	5	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Estonian	4.22859708267	18	MIWord5_Bugfix.py	REAL_REAL	0.001
Estonian	4.88995881421	23	MIWord5_Bugfix.py	REVERSE	0.001
Estonian	2.16988894255	24	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Estonian	2.61445382429	25	MIWord5_Content_Bugfix.py	REVERSE	0.001
Estonian	2.77485129431	52	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Estonian	3.46331793184	18	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Estonian	2.51516122641	25	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Estonian	3.29576551887	23	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Estonian	2.64085133037	15	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Estonian	4.52097156468	2	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Estonian	3.91258110081	27	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Estonian	6.70049716406	4	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Faroese-Adap	2.72130238393	29	MIWord5_Bugfix.py	REAL_REAL	0.001
Faroese-Adap	3.24849630865	43	MIWord5_Bugfix.py	REVERSE	0.001
Faroese-Adap	1.73001009061	15	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Faroese-Adap	1.86941227815	9	MIWord5_Content_Bugfix.py	REVERSE	0.001
Faroese-Adap	1.90068128909	112	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Faroese-Adap	2.01136188071	74	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Faroese-Adap	1.29762832065	47	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Faroese-Adap	2.52526954336	27	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Faroese-Adap	1.48666728188	34	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Faroese-Adap	2.69151492411	21	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Faroese-Adap	1.99379093351	45	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Faroese-Adap	3.73841383999	31	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Finnish	3.19596618158	20	MIWord5_Bugfix.py	REAL_REAL	0.001
Finnish	4.183941325	15	MIWord5_Bugfix.py	REVERSE	0.001
Finnish	1.95063534478	20	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Finnish	2.70060590391	8	MIWord5_Content_Bugfix.py	REVERSE	0.001
Finnish	2.26933835506	52	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Finnish	3.06420447096	32	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Finnish	2.12007754693	22	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Finnish	2.91457272332	17	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Finnish	2.12233315674	19	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Finnish	3.00826413306	17	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Finnish	3.12513090626	21	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Finnish	4.26150486446	22	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
French	3.46509534089	10	MIWord5_Bugfix.py	REAL_REAL	0.001
French	3.88372021064	10	MIWord5_Bugfix.py	REVERSE	0.001
French	1.95593294372	8	MIWord5_Content_Bugfix.py	REVERSE	0.001
French	1.98922095088	28	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
French	2.42140978554	25	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
French	1.93481103525	7	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
French	2.28455758048	18	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
French	1.90905495865	14	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
French	2.62417790488	15	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
French	3.49306248607	13	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
French	4.33821426597	12	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
German	3.44220644817	17	MIWord5_Bugfix.py	REAL_REAL	0.001
German	5.17687066991	14	MIWord5_Bugfix.py	REVERSE	0.001
